,trap,ERRATICUS,PIPIENS,RESTUANS,SALINARIUS,TARSALIS,TERRITANS,PIPIENSRESTUANS,wnv,Date,Latitude,Longitude,Min_Station_Distance,Closest_Station,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,CodeSum,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Min_Spray_Distance,Spray,closest_spray_all
27,T033,0,0,1,0,0,0,0,0,2007-06-05,41.907,-87.70100000000001,8.7558239145,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.7553397447005854
28,T045,0,1,1,0,0,0,1,0,2007-06-05,41.922,-87.666,10.3822649411,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.6359576825745957
29,T046,0,0,1,0,0,0,0,0,2007-06-05,41.891000000000005,-87.654,8.83720536293,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,2.276280873027733
30,T048,0,1,1,0,0,0,1,0,2007-06-05,41.867,-87.654,7.53941661205,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,2.7460847568882163
31,T049,0,0,1,0,0,0,0,0,2007-06-05,41.896,-87.655,9.09369521734,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,1.9653535412815655
32,T050,0,0,1,0,0,0,1,0,2007-06-05,41.919,-87.694,9.654690980449999,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.008301150227724588
33,T054,0,0,1,0,0,0,0,0,2007-06-05,41.922,-87.632,11.2445071398,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,2.377939935135807
34,T086,0,0,1,0,0,0,0,0,2007-06-05,41.688,-87.677,7.795806064580001,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,2.014821801790106
35,T089,0,0,1,0,0,0,0,0,2007-06-05,41.723,-87.65,6.83301494426,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.04572552012646952
36,T090,0,0,1,0,0,0,1,0,2007-06-05,41.868,-87.667,7.160977485539999,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,2.0910285212083344
37,T092,0,0,0,0,0,0,1,0,2007-06-05,41.869,-87.62799999999999,8.589788188250001,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,3.9635311590357767
38,T094,0,0,0,0,0,0,1,0,2007-06-05,41.721000000000004,-87.666,6.314798485830001,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.16719317191679503
39,T096,0,1,1,0,0,0,1,0,2007-06-05,41.732,-87.678,5.339621773819999,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.3633307204207894
40,T135,0,1,1,0,0,0,1,0,2007-06-05,41.662,-87.725,8.67089799476,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,4.939085299333966
41,T141,0,0,1,0,0,0,1,0,2007-06-05,41.961999999999996,-87.76,9.195737439010001,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.9445132837035876
42,T142,0,0,1,0,0,0,1,0,2007-06-05,41.953,-87.777,8.54124450131,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.06653543410777785
43,T143,0,0,1,0,0,0,1,0,2007-06-05,41.998999999999995,-87.796,7.05863876455,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.015506128807983285
44,T145,0,0,1,0,0,0,0,0,2007-06-05,41.878,-87.63,8.942592190980001,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,3.729662224143462
45,T146,0,0,1,0,0,0,1,0,2007-06-05,41.958,-87.70299999999999,12.1171409955,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.28373840187840754
46,T147,0,0,1,0,0,0,0,0,2007-06-05,41.931999999999995,-87.7,10.427401011699999,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.029211235739921383
47,T149,0,0,0,0,0,0,1,0,2007-06-05,41.994,-87.66799999999999,13.643829108399999,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.19879473504124484
48,T150,0,0,1,0,0,0,0,0,2007-06-05,42.007,-87.676,13.2563218158,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.6363170235894743
49,T151,0,0,1,0,0,0,1,0,2007-06-05,41.916000000000004,-87.801,8.71615596247,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.05889358442344134
50,T152,0,0,1,0,0,0,0,0,2007-06-05,41.846000000000004,-87.71600000000001,4.53892972315,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,1.9164116402713152
51,T153,0,0,1,0,0,0,0,0,2007-06-05,41.908,-87.76100000000001,8.43273825415,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.0062476867714867665
52,T154,0,0,1,0,0,0,0,0,2007-06-05,41.919,-87.75200000000001,9.17912261027,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.3959004678754808
53,T158,0,0,1,0,0,0,1,0,2007-06-05,41.683,-87.708,7.46353448795,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,3.29976508524485
54,T159,0,0,1,0,0,0,0,0,2007-06-05,41.733000000000004,-87.65,6.41565901265,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.02222924007655043
55,T162,0,0,0,0,0,0,1,0,2007-06-05,41.726000000000006,-87.61399999999999,8.24649662835,2,2,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,,0,0.04893333551263221
56,T218,0,0,1,0,0,0,1,0,2007-06-05,41.948,-87.73100000000001,10.8977831699,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.019528521765132468
57,T220,0,0,1,0,0,0,0,0,2007-06-05,41.964,-87.69200000000001,12.593985932999999,1,1,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,,0,0.8580655040980102
58,T001,0,0,0,0,0,0,1,0,2007-06-26,41.95399999999999,-87.734,10.6322905875,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.07464312496166357
59,T002,0,0,1,1,0,0,1,0,2007-06-26,41.955,-87.801,7.337331426919999,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.1802629371261451
60,T003,0,0,1,0,0,0,0,0,2007-06-26,41.964,-87.758,9.2625688351,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.9676718196545845
61,T006,0,0,1,0,0,0,1,0,2007-06-26,41.99,-87.79700000000001,7.01074599233,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.004882750586403168
62,T007,0,0,1,0,0,0,1,0,2007-06-26,41.995,-87.76899999999999,8.44355616196,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.20291089545008587
63,T008,0,0,1,0,0,0,0,0,2007-06-26,42.008,-87.77799999999999,8.02966383335,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.05404954273490426
64,T011,0,0,1,0,0,0,1,0,2007-06-26,41.945,-87.833,6.19970925636,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.7633954582231183
65,T012,0,0,0,0,0,0,1,0,2007-06-26,41.99100000000001,-87.74700000000001,9.58050614442,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.9897066468699725
66,T015,0,0,1,0,0,0,0,0,2007-06-26,41.974,-87.825,5.74706717582,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.006064115184154379
67,T016,0,0,1,0,0,0,1,0,2007-06-26,42.012,-87.81200000000001,6.3384097730999995,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.025465125679229556
68,T019,0,0,1,0,0,0,0,0,2007-06-26,41.95,-87.698,11.6564140423,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.3115925482654627
69,T025,0,0,0,0,0,0,1,0,2007-06-26,41.979,-87.751,9.4362977905,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,1.0505886120392152
70,T028,0,0,1,0,0,0,1,0,2007-06-26,41.986999999999995,-87.69,12.5238370762,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.045721240055445096
71,T033,0,0,1,0,0,0,1,0,2007-06-26,41.907,-87.70100000000001,8.7558239145,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.7553397447005854
72,T034,0,0,1,0,0,0,0,0,2007-06-26,41.843999999999994,-87.68700000000001,5.2235587362,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,2.356895516301771
73,T037,0,0,1,0,0,0,0,0,2007-06-26,41.92100000000001,-87.795,8.753452766930002,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.0199158078688713
74,T040,0,0,1,0,0,0,1,0,2007-06-26,41.853,-87.72,4.91029645285,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,1.423995260722987
75,T043,0,0,1,0,0,0,0,0,2007-06-26,41.857,-87.695,5.715766073099999,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,1.369345474124189
76,T045,0,0,1,0,0,0,1,0,2007-06-26,41.922,-87.666,10.3822649411,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.6359576825745957
77,T046,0,0,1,0,0,0,1,0,2007-06-26,41.891000000000005,-87.654,8.83720536293,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,2.276280873027733
78,T047,0,0,1,0,0,0,1,0,2007-06-26,41.868,-87.696,6.35482790709,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.7198010308054855
79,T048,0,0,0,0,0,0,1,0,2007-06-26,41.867,-87.654,7.53941661205,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,2.7460847568882163
80,T049,0,0,1,0,0,0,0,0,2007-06-26,41.896,-87.655,9.09369521734,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,1.9653535412815655
81,T050,0,0,1,0,0,0,0,0,2007-06-26,41.919,-87.694,9.654690980449999,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.008301150227724588
82,T051,0,0,0,0,0,0,1,0,2007-06-26,41.846000000000004,-87.65700000000001,6.41903673724,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,3.239017755006657
83,T085,0,0,1,0,0,0,0,0,2007-06-26,41.721000000000004,-87.648,7.000759522360001,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.02256820276754437
84,T086,0,0,1,0,0,0,2,0,2007-06-26,41.688,-87.677,7.795806064580001,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,2.014821801790106
85,T088,0,1,0,0,0,0,0,0,2007-06-26,41.869,-87.696,6.41635681207,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.6761797049775374
86,T090,0,1,1,0,0,0,1,0,2007-06-26,41.868,-87.667,7.160977485539999,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,2.0910285212083344
87,T096,0,0,1,0,0,0,0,0,2007-06-26,41.732,-87.678,5.339621773819999,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.3633307204207894
88,T129,0,0,1,0,0,0,1,0,2007-06-26,41.891000000000005,-87.61200000000001,10.233401593,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,3.911638381720372
89,T135,0,1,1,0,0,0,1,0,2007-06-26,41.662,-87.725,8.67089799476,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,4.939085299333966
90,T141,0,0,1,0,0,0,1,0,2007-06-26,41.961999999999996,-87.76,9.195737439010001,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.9445132837035876
91,T142,0,0,1,0,0,0,0,0,2007-06-26,41.953,-87.777,8.54124450131,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.06653543410777785
92,T143,0,0,1,0,0,0,1,0,2007-06-26,41.998999999999995,-87.796,7.05863876455,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.015506128807983285
93,T145,0,0,1,0,0,0,0,0,2007-06-26,41.878,-87.63,8.942592190980001,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,3.729662224143462
94,T146,0,0,1,0,0,0,0,0,2007-06-26,41.958,-87.70299999999999,12.1171409955,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.28373840187840754
95,T147,0,0,1,0,0,0,0,0,2007-06-26,41.931999999999995,-87.7,10.427401011699999,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.029211235739921383
96,T148,0,0,1,0,0,0,1,0,2007-06-26,42.016999999999996,-87.68799999999999,12.702749346600001,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,1.3551660610394018
97,T150,0,0,1,0,0,0,0,0,2007-06-26,42.007,-87.676,13.2563218158,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.6363170235894743
98,T151,0,0,1,0,0,0,1,0,2007-06-26,41.916000000000004,-87.801,8.71615596247,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.05889358442344134
99,T158,0,0,1,0,0,0,1,0,2007-06-26,41.683,-87.708,7.46353448795,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,3.29976508524485
100,T161,0,0,1,0,0,0,1,0,2007-06-26,41.718999999999994,-87.675,6.10054260529,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.639096394879573
101,T219,0,0,1,0,0,0,0,0,2007-06-26,41.967,-87.675,13.1081247505,2,2,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,,0,0.6410268932070179
102,T220,0,0,1,0,0,0,0,0,2007-06-26,41.964,-87.69200000000001,12.593985932999999,1,1,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,,0,0.8580655040980102
103,T002,0,0,0,0,0,0,1,0,2007-06-29,41.955,-87.801,7.337331426919999,1,1,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,,0,0.1802629371261451
104,T006,0,0,1,0,0,0,0,0,2007-06-29,41.99,-87.79700000000001,7.01074599233,1,1,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,,0,0.004882750586403168
105,T012,0,0,0,0,0,0,1,0,2007-06-29,41.99100000000001,-87.74700000000001,9.58050614442,1,1,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,,0,0.9897066468699725
106,T013,0,0,0,0,0,0,1,0,2007-06-29,41.924,-87.785,9.06300042138,1,1,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,,0,0.06973489297786471
107,T014,0,0,1,0,0,0,0,0,2007-06-29,41.97,-87.788,7.66356563348,1,1,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,,0,0.009186922163699613
108,T015,0,0,1,0,0,0,1,0,2007-06-29,41.974,-87.825,5.74706717582,1,1,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,,0,0.006064115184154379
109,T016,0,0,0,0,0,0,1,0,2007-06-29,42.012,-87.81200000000001,6.3384097730999995,1,1,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,,0,0.025465125679229556
110,T018,0,0,1,0,0,0,0,0,2007-06-29,42.01,-87.662,13.989179614700001,1,1,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,,0,1.005732628005874
111,T028,0,0,1,0,0,0,1,0,2007-06-29,41.986999999999995,-87.69,12.5238370762,1,1,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,,0,0.045721240055445096
112,T030,0,0,1,0,0,0,1,0,2007-06-29,41.898999999999994,-87.71700000000001,8.00523231883,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,0.2589106378975566
113,T031,0,1,0,0,0,0,0,0,2007-06-29,41.801,-87.76299999999999,1.1808715949500002,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,1.6778774840264137
114,T043,0,0,1,0,0,0,1,0,2007-06-29,41.857,-87.695,5.715766073099999,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,1.369345474124189
115,T046,0,0,1,0,0,0,0,0,2007-06-29,41.891000000000005,-87.654,8.83720536293,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,2.276280873027733
116,T054,0,0,0,0,0,0,1,0,2007-06-29,41.922,-87.632,11.2445071398,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,2.377939935135807
117,T084,0,0,1,0,0,0,1,0,2007-06-29,41.693000000000005,-87.59899999999999,10.1853799902,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,1.5059699706439722
118,T085,0,1,0,0,0,0,1,0,2007-06-29,41.721000000000004,-87.648,7.000759522360001,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,0.02256820276754437
119,T086,0,1,1,0,0,0,0,0,2007-06-29,41.688,-87.677,7.795806064580001,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,2.014821801790106
120,T089,0,0,1,0,0,0,0,0,2007-06-29,41.723,-87.65,6.83301494426,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,0.04572552012646952
121,T090,0,1,1,0,0,0,1,0,2007-06-29,41.868,-87.667,7.160977485539999,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,2.0910285212083344
122,T091,0,0,0,0,0,0,1,0,2007-06-29,41.861999999999995,-87.649,7.468863139450001,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,3.09549853646791
123,T096,0,0,1,0,0,0,0,0,2007-06-29,41.732,-87.678,5.339621773819999,2,2,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,,0,0.3633307204207894
