,Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,CodeSum,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Lat,Long
27,2,2007-05-14,90,54,72.0,45,58.0, ,0.0,0.0,29.31,29.98,14.1,21,14.6,41.786,-87.752
28,1,2007-05-15,80,57,69.0,56,61.0,RA BR,0.0,0.38,29.13,29.84,8.1,27,12.3,41.995,-87.933
29,2,2007-05-15,82,56,69.0,56,61.0,TSRA RA BR,0.0,0.6,29.19,29.83,8.1,25,10.8,41.786,-87.752
30,1,2007-05-16,66,44,55.0,43,48.0,RA BR,0.0,0.14,29.33,30.03,7.8,36,12.2,41.995,-87.933
31,2,2007-05-16,64,45,55.0,42,47.0,RA BR,0.0,0.07,29.39,30.03,8.0,36,11.8,41.786,-87.752
32,1,2007-05-17,62,43,53.0,32,43.0, ,0.0,0.0,29.55,30.27,10.5,3,11.3,41.995,-87.933
33,2,2007-05-17,61,44,53.0,32,43.0, ,0.0,0.0,29.62,30.27,11.7,1,12.2,41.786,-87.752
34,1,2007-05-18,71,42,57.0,30,46.0, ,0.0,0.0,29.53,30.25,5.4,25,7.5,41.995,-87.933
35,2,2007-05-18,70,43,57.0,31,47.0, ,0.0,0.0,29.6,30.26,3.4,22,5.5,41.786,-87.752
36,1,2007-05-19,80,56,68.0,39,53.0, ,0.0,0.0,29.34,30.08,11.1,24,11.4,41.995,-87.933
37,2,2007-05-19,80,56,68.0,37,53.0, ,0.0,0.0,29.41,30.08,11.1,23,11.4,41.786,-87.752
38,1,2007-05-20,69,43,56.0,40,44.0,RA VCTS,0.0,0.07,29.38,30.11,10.4,4,10.7,41.995,-87.933
39,2,2007-05-20,69,44,57.0,41,45.0,TSRA RA,0.0,0.11,29.44,30.11,8.6,3,9.7,41.786,-87.752
40,1,2007-05-21,80,44,62.0,50,56.0, ,0.0,0.0,29.33,30.06,6.3,11,8.2,41.995,-87.933
41,2,2007-05-21,79,46,63.0,50,57.0, ,0.0,0.0,29.39,30.05,6.3,10,7.8,41.786,-87.752
42,1,2007-05-22,87,55,71.0,46,58.0, ,0.0,0.0,29.34,30.06,10.0,18,10.2,41.995,-87.933
43,2,2007-05-22,87,60,74.0,44,58.0, ,0.0,0.0,29.41,30.05,10.1,16,10.6,41.786,-87.752
44,1,2007-05-23,89,60,75.0,49,61.0, ,0.0,0.0,29.39,30.1,11.4,19,11.8,41.995,-87.933
45,2,2007-05-23,89,66,78.0,48,61.0, ,0.0,0.0,29.47,30.1,10.9,18,11.2,41.786,-87.752
46,1,2007-05-24,88,63,76.0,54,63.0,RA HZ,0.0,0.02,29.41,30.11,14.9,21,17.3,41.995,-87.933
47,2,2007-05-24,88,66,77.0,53,63.0,RA HZ,0.0,0.01,29.47,30.1,13.8,20,15.2,41.786,-87.752
48,1,2007-05-25,70,56,63.0,44,53.0, ,0.0,0.01,29.51,30.24,4.9,5,8.8,41.995,-87.933
49,2,2007-05-25,66,57,62.0,46,53.0,RA BR,0.0,0.09,29.57,30.23,4.5,5,8.2,41.786,-87.752
50,1,2007-05-26,65,49,57.0,55,56.0,TSRA RA BR HZ,0.0,1.01,29.36,30.11,2.8,17,7.2,41.995,-87.933
51,2,2007-05-26,70,50,60.0,55,57.0,TSRA RA BR,0.0,0.28,29.42,30.1,2.5,15,7.8,41.786,-87.752
52,1,2007-05-27,75,57,66.0,47,56.0,RA BR,0.0,0.04,29.34,30.06,8.9,26,9.5,41.995,-87.933
53,2,2007-05-27,75,59,67.0,49,57.0,RA BR,0.0,0.08,29.41,30.05,8.2,24,9.2,41.786,-87.752
54,1,2007-05-28,79,50,65.0,47,56.0,RA,0.0,0.01,29.43,30.15,4.8,10,5.3,41.995,-87.933
55,2,2007-05-28,76,54,65.0,49,57.0, ,0.0,0.0,29.49,30.14,4.7,8,5.2,41.786,-87.752
56,1,2007-05-29,88,60,74.0,58,65.0,BR HZ,0.0,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933
57,2,2007-05-29,88,65,77.0,59,66.0,BR HZ,0.0,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752
58,1,2007-05-30,87,66,77.0,58,65.0,HZ,0.0,0.0,29.31,30.04,10.3,19,10.6,41.995,-87.933
59,2,2007-05-30,89,70,80.0,57,66.0,HZ,0.0,0.0,29.38,30.03,9.7,17,10.1,41.786,-87.752
60,1,2007-05-31,78,65,72.0,61,65.0,RA HZ,0.0,0.01,29.28,30.0,9.3,19,9.9,41.995,-87.933
61,2,2007-05-31,80,68,74.0,61,66.0,RA BR,0.0,0.53,29.34,29.99,8.9,18,9.2,41.786,-87.752
62,1,2007-06-01,85,62,74.0,63,66.0,TSRA BR HZ,0.0,0.19,29.19,29.91,4.2,17,6.4,41.995,-87.933
63,2,2007-06-01,86,67,77.0,63,67.0,TSRA BR HZ,0.0,0.21,29.25,29.9,4.7,16,5.8,41.786,-87.752
64,1,2007-06-02,81,65,73.0,63,67.0,RA BR,0.0,0.04,29.03,29.77,6.5,22,7.4,41.995,-87.933
65,2,2007-06-02,81,68,75.0,62,67.0,RA BR,0.0,0.01,29.1,29.76,7.5,21,8.2,41.786,-87.752
66,1,2007-06-03,78,62,70.0,60,63.0,TSRA RA BR HZ,0.0,0.01,28.82,29.56,5.2,25,6.7,41.995,-87.933
67,2,2007-06-03,77,64,71.0,60,64.0,RA BR HZ VCTS,0.0,0.32,28.87,29.54,4.9,24,7.2,41.786,-87.752
68,1,2007-06-04,71,58,65.0,58,60.0,TSRA RA BR,0.0,0.39,28.82,29.52,7.8,31,9.7,41.995,-87.933
69,2,2007-06-04,72,56,64.0,57,60.0,RA BR,0.0,0.31,28.88,29.51,7.9,30,10.1,41.786,-87.752
70,1,2007-06-05,64,47,56.0,48,51.0,RA BR,0.0,0.42,29.1,29.79,5.2,5,7.6,41.995,-87.933
71,2,2007-06-05,63,51,57.0,47,52.0,RA BR,0.0,0.27,29.16,29.78,6.2,3,8.1,41.786,-87.752
72,1,2007-06-06,71,44,58.0,48,55.0,RA,0.0,0.01,29.07,29.81,10.8,17,11.4,41.995,-87.933
73,2,2007-06-06,73,48,61.0,47,55.0,RA,0.0,0.01,29.13,29.82,9.6,15,10.6,41.786,-87.752
74,1,2007-06-07,91,71,81.0,62,69.0, ,0.0,0.0,28.84,29.55,22.7,20,23.1,41.995,-87.933
75,2,2007-06-07,92,71,82.0,61,68.0, ,0.0,0.0,28.91,29.55,20.3,19,20.7,41.786,-87.752
76,1,2007-06-08,81,57,69.0,53,61.0, ,0.0,0.0,29.18,29.85,10.9,28,13.8,41.995,-87.933
77,2,2007-06-08,81,63,72.0,54,62.0, ,0.0,0.0,29.24,29.83,9.3,26,12.4,41.786,-87.752
78,1,2007-06-09,79,52,66.0,47,57.0, ,0.0,0.0,29.36,30.07,0.3,33,5.0,41.995,-87.933
79,2,2007-06-09,79,57,68.0,49,58.0, ,0.0,0.0,29.42,30.05,2.4,19,4.7,41.786,-87.752
80,1,2007-06-10,81,55,68.0,51,59.0, ,0.0,0.0,29.34,30.05,4.8,17,5.6,41.995,-87.933
81,2,2007-06-10,81,61,71.0,50,60.0, ,0.0,0.0,29.39,30.04,4.6,16,5.8,41.786,-87.752
82,1,2007-06-11,86,58,72.0,52,61.0, ,0.0,0.0,29.41,30.11,4.9,11,6.9,41.995,-87.933
83,2,2007-06-11,85,65,75.0,51,61.0, ,0.0,0.0,29.47,30.09,6.6,9,8.4,41.786,-87.752
84,1,2007-06-12,83,62,73.0,50,60.0, ,0.0,0.0,29.44,30.16,8.3,5,8.8,41.995,-87.933
85,2,2007-06-12,82,66,74.0,51,61.0, ,0.0,0.0,29.49,30.14,9.4,5,10.0,41.786,-87.752
86,1,2007-06-13,87,60,74.0,53,62.0, ,0.0,0.0,29.36,30.09,7.2,5,8.6,41.995,-87.933
87,2,2007-06-13,86,68,77.0,53,62.0, ,0.0,0.0,29.36,30.09,7.0,5,8.6,41.786,-87.752
88,1,2007-06-14,89,64,77.0,55,64.0, ,0.0,0.0,29.3,30.02,5.6,5,6.8,41.995,-87.933
89,2,2007-06-14,89,68,79.0,54,63.0, ,0.0,0.0,29.36,30.0,5.9,7,6.4,41.786,-87.752
90,1,2007-06-15,91,63,77.0,56,64.0, ,0.0,0.0,29.28,29.99,4.1,6,4.9,41.995,-87.933
91,2,2007-06-15,89,67,78.0,56,65.0, ,0.0,0.0,29.34,29.97,3.8,9,4.1,41.786,-87.752
92,1,2007-06-16,93,66,80.0,60,67.0,RA HZ,0.0,0.01,29.26,29.97,4.8,28,5.8,41.995,-87.933
93,2,2007-06-16,92,68,80.0,61,68.0,HZ,0.0,0.01,29.33,29.96,2.1,22,6.1,41.786,-87.752
94,1,2007-06-17,91,70,81.0,64,70.0,HZ,0.0,0.0,29.23,29.95,2.8,11,6.3,41.995,-87.933
95,2,2007-06-17,91,71,81.0,65,70.0,HZ,0.0,0.16,29.28,29.93,4.0,11,6.1,41.786,-87.752
96,1,2007-06-18,89,69,79.0,65,70.0,TSRA RA HZ,0.0,0.28,29.12,29.84,14.0,20,15.1,41.995,-87.933
97,2,2007-06-18,89,73,81.0,65,70.0,TSRA RA HZ,0.0,0.02,29.19,29.83,12.2,20,12.6,41.786,-87.752
98,1,2007-06-19,80,65,73.0,55,63.0,RA,0.0,0.58,29.26,29.95,10.7,28,11.4,41.995,-87.933
99,2,2007-06-19,81,65,73.0,55,63.0,RA BR,0.0,0.93,29.31,29.93,10.1,29,11.3,41.786,-87.752
100,1,2007-06-20,84,61,73.0,52,61.0, ,0.0,0.0,29.39,30.1,7.8,27,8.8,41.995,-87.933
101,2,2007-06-20,85,62,74.0,50,61.0, ,0.0,0.0,29.46,30.09,5.9,28,7.7,41.786,-87.752
102,1,2007-06-21,77,61,69.0,51,60.0,RA,0.0,0.01,29.36,30.08,3.5,3,10.7,41.995,-87.933
103,2,2007-06-21,80,66,73.0,51,61.0,RA,0.0,0.01,29.41,30.06,3.7,2,9.6,41.786,-87.752
104,1,2007-06-22,76,61,69.0,50,58.0,RA,0.0,0.01,29.33,30.06,7.8,6,8.7,41.995,-87.933
105,2,2007-06-22,75,62,69.0,49,58.0,RA,0.0,0.01,29.39,30.05,6.5,7,8.1,41.786,-87.752
106,1,2007-06-23,67,62,65.0,58,61.0,RA BR,0.0,0.05,29.23,29.96,7.6,12,9.0,41.995,-87.933
107,2,2007-06-23,68,61,65.0,60,62.0,RA BR,0.0,0.34,29.28,29.95,7.3,11,8.1,41.786,-87.752
108,1,2007-06-24,77,63,70.0,62,65.0,BR HZ,0.0,0.0,29.26,29.97,7.0,9,8.0,41.995,-87.933
109,2,2007-06-24,75,65,70.0,62,65.0,BR HZ,0.0,0.0,29.33,29.96,5.6,10,6.0,41.786,-87.752
110,1,2007-06-25,89,65,77.0,66,70.0,BR HZ,0.0,0.0,29.38,30.07,3.9,14,6.8,41.995,-87.933
111,2,2007-06-25,86,67,77.0,67,70.0,BR HZ,0.0,0.0,29.44,30.06,4.0,12,5.9,41.786,-87.752
112,1,2007-06-26,92,70,81.0,69,72.0,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22,7.1,41.995,-87.933
113,2,2007-06-26,91,73,82.0,69,72.0,BR HZ,0.0,0.01,29.45,30.09,7.3,21,8.1,41.786,-87.752
114,1,2007-06-27,91,71,81.0,70,72.0,TSRA,0.0,0.15,29.29,30.02,7.5,24,8.8,41.995,-87.933
115,2,2007-06-27,89,71,80.0,69,72.0,TSRA RA BR,0.0,0.35,29.36,30.0,7.9,24,8.5,41.786,-87.752
116,1,2007-06-28,74,58,66.0,55,60.0, ,0.0,0.0,29.41,30.09,11.9,3,12.5,41.995,-87.933
117,2,2007-06-28,73,61,67.0,56,61.0, ,0.0,0.0,29.43,30.07,12.2,2,13.3,41.786,-87.752
118,1,2007-06-29,70,56,63.0,55,59.0, ,0.0,0.0,29.41,30.13,7.6,2,8.3,41.995,-87.933
119,2,2007-06-29,71,56,64.0,56,60.0, ,0.0,0.0,29.47,30.11,7.4,2,8.2,41.786,-87.752
120,1,2007-06-30,79,54,67.0,46,56.0, ,0.0,0.0,29.41,30.13,4.9,3,5.8,41.995,-87.933
121,2,2007-06-30,77,58,68.0,49,58.0, ,0.0,0.0,29.46,30.11,5.1,4,6.2,41.786,-87.752
122,1,2007-07-01,75,54,65.0,52,58.0, ,0.0,0.0,29.51,30.23,8.6,4,8.6,41.995,-87.933
123,2,2007-07-01,76,61,69.0,51,59.0, ,0.0,0.0,29.56,30.21,9.5,4,9.7,41.786,-87.752
124,1,2007-07-02,79,53,66.0,50,58.0, ,0.0,0.0,29.49,30.22,5.9,14,8.1,41.995,-87.933
125,2,2007-07-02,77,58,68.0,50,59.0, ,0.0,0.0,29.55,30.21,7.4,12,8.5,41.786,-87.752
126,1,2007-07-03,83,60,72.0,57,63.0,TSRA RA BR,0.0,0.4,29.31,30.06,6.7,21,7.3,41.995,-87.933
127,2,2007-07-03,83,63,73.0,56,63.0,TSRA RA,0.0,0.09,29.38,30.05,6.4,21,7.4,41.786,-87.752
128,1,2007-07-04,86,67,77.0,65,69.0,TSRA BR HZ FU,0.0,0.16,29.18,29.9,4.6,27,8.2,41.995,-87.933
129,2,2007-07-04,84,67,76.0,65,69.0,TSRA RA HZ FU,0.0,0.66,29.23,29.88,3.1,25,8.8,41.786,-87.752
130,1,2007-07-05,89,71,80.0,60,67.0,BR HZ FU,0.0,0.0,29.24,29.94,6.4,31,8.1,41.995,-87.933
131,2,2007-07-05,88,70,79.0,60,67.0,BR,0.0,0.0,29.29,29.92,4.3,33,6.9,41.786,-87.752
132,1,2007-07-06,86,66,76.0,57,64.0, ,0.0,0.0,29.32,30.03,3.2,5,5.5,41.995,-87.933
133,2,2007-07-06,84,68,76.0,57,65.0, ,0.0,0.0,29.38,30.01,3.3,7,5.5,41.786,-87.752
134,1,2007-07-07,90,64,77.0,63,69.0, ,0.0,0.0,29.18,29.91,8.4,22,8.6,41.995,-87.933
135,2,2007-07-07,88,68,78.0,62,68.0, ,0.0,0.0,29.24,29.9,7.4,23,8.1,41.786,-87.752
136,1,2007-07-08,94,75,85.0,67,72.0, ,0.0,0.0,29.05,29.77,12.9,24,13.1,41.995,-87.933
137,2,2007-07-08,93,75,84.0,67,72.0, ,0.0,0.0,29.12,29.76,12.6,23,12.7,41.786,-87.752
138,1,2007-07-09,94,70,82.0,66,70.0,TSRA RA VCTS,0.0,0.3,29.11,29.8,4.9,24,8.8,41.995,-87.933
139,2,2007-07-09,93,72,83.0,67,71.0,RA,0.0,0.24,29.16,29.79,4.8,23,8.8,41.786,-87.752
140,1,2007-07-10,89,69,79.0,67,70.0,HZ VCTS,0.0,0.43,29.06,29.77,8.6,23,10.5,41.995,-87.933
141,2,2007-07-10,89,70,80.0,67,71.0,TSRA HZ,0.0,0.08,29.13,29.76,8.2,23,10.2,41.786,-87.752
142,1,2007-07-11,77,62,70.0,51,59.0, ,0.0,0.0,29.23,29.93,8.8,30,10.9,41.995,-87.933
143,2,2007-07-11,77,63,70.0,51,59.0, ,0.0,0.0,29.28,29.92,9.1,30,11.2,41.786,-87.752
144,1,2007-07-12,80,61,71.0,51,59.0, ,0.0,0.0,29.22,29.93,9.4,29,11.1,41.995,-87.933
145,2,2007-07-12,80,60,70.0,51,60.0,VCTS,0.0,0.0,29.28,29.92,10.0,28,11.4,41.786,-87.752
146,1,2007-07-13,78,58,68.0,52,58.0, ,0.0,0.0,29.26,29.98,1.4,1,5.3,41.995,-87.933
147,2,2007-07-13,74,59,67.0,53,59.0, ,0.0,0.0,29.33,29.98,2.0,7,5.8,41.786,-87.752
148,1,2007-07-14,84,61,73.0,55,62.0, ,0.0,0.0,29.08,29.79,8.3,26,13.2,41.995,-87.933
149,2,2007-07-14,85,62,74.0,55,62.0, ,0.0,0.0,29.14,29.79,8.4,25,13.9,41.786,-87.752
150,1,2007-07-15,82,60,71.0,53,61.0, ,0.0,0.0,29.19,29.89,2.1,29,4.9,41.995,-87.933
151,2,2007-07-15,80,64,72.0,52,61.0, ,0.0,0.0,29.25,29.88,1.2,9,6.5,41.786,-87.752
152,1,2007-07-16,82,65,74.0,60,65.0,RA BR,0.0,0.39,29.25,29.96,4.4,24,5.2,41.995,-87.933
153,2,2007-07-16,82,66,74.0,60,65.0,TSRA RA,0.0,0.07,29.31,29.94,5.6,23,6.6,41.786,-87.752
154,1,2007-07-17,83,68,76.0,66,69.0,RA BR VCTS,0.0,0.11,29.18,29.9,5.2,23,6.5,41.995,-87.933
155,2,2007-07-17,83,69,76.0,65,69.0,RA BR,0.0,0.11,29.24,29.89,6.3,23,7.4,41.786,-87.752
156,1,2007-07-18,85,69,77.0,68,71.0,TSRA RA BR VCTS,0.0,1.55,29.11,29.84,9.1,24,10.1,41.995,-87.933
157,2,2007-07-18,85,69,77.0,69,71.0,TS TSRA RA BR HZ VCTS,0.0,0.92,29.18,29.83,10.3,24,10.6,41.786,-87.752
158,1,2007-07-19,83,63,73.0,63,66.0,DZ BR,0.0,0.16,29.21,29.9,7.0,1,11.9,41.995,-87.933
159,2,2007-07-19,82,63,73.0,62,66.0,BR HZ,0.0,0.01,29.26,29.88,7.7,36,14.4,41.786,-87.752
160,1,2007-07-20,75,58,67.0,53,59.0, ,0.0,0.0,29.44,30.14,8.6,3,9.1,41.995,-87.933
161,2,2007-07-20,74,62,68.0,52,59.0, ,0.0,0.0,29.49,30.12,11.3,4,11.5,41.786,-87.752
162,1,2007-07-21,74,58,66.0,52,58.0, ,0.0,0.0,29.51,30.22,6.5,3,7.4,41.995,-87.933
163,2,2007-07-21,75,58,67.0,52,59.0, ,0.0,0.0,29.57,30.21,5.8,4,7.4,41.786,-87.752
164,1,2007-07-22,81,58,70.0,55,61.0, ,0.0,0.0,29.49,30.21,1.7,16,3.3,41.995,-87.933
165,2,2007-07-22,81,61,71.0,54,61.0, ,0.0,0.0,29.54,30.2,1.9,18,3.5,41.786,-87.752
166,1,2007-07-23,83,60,72.0,55,63.0, ,0.0,0.0,29.37,30.1,3.2,9,4.0,41.995,-87.933
167,2,2007-07-23,82,63,73.0,55,63.0, ,0.0,0.0,29.42,30.09,2.9,12,3.9,41.786,-87.752
168,1,2007-07-24,82,65,74.0,58,64.0, ,0.0,0.0,29.32,30.04,3.1,20,5.2,41.995,-87.933
169,2,2007-07-24,82,65,74.0,57,64.0, ,0.0,0.01,29.38,30.03,1.1,21,4.9,41.786,-87.752
170,1,2007-07-25,85,71,78.0,61,67.0, ,0.0,0.01,29.29,30.0,5.8,25,6.6,41.995,-87.933
171,2,2007-07-25,83,70,77.0,60,66.0, ,0.0,0.0,29.35,29.99,6.4,23,7.0,41.786,-87.752
172,1,2007-07-26,83,66,75.0,65,68.0,TS TSRA RA BR HZ,0.0,0.19,29.19,29.92,7.2,22,9.4,41.995,-87.933
173,2,2007-07-26,84,64,74.0,65,68.0,TS TSRA BR HZ,0.0,0.89,29.25,29.91,7.2,22,9.9,41.786,-87.752
174,1,2007-07-27,83,70,77.0,68,70.0,RA BR HZ,0.0,0.17,29.11,29.82,3.0,3,7.9,41.995,-87.933
175,2,2007-07-27,83,70,77.0,67,70.0,RA BR HZ,0.0,0.04,29.16,29.8,1.2,36,8.1,41.786,-87.752
176,1,2007-07-28,80,66,73.0,65,68.0,BR HZ,0.0,0.0,29.23,29.93,10.0,3,10.2,41.995,-87.933
177,2,2007-07-28,80,70,75.0,65,68.0,BR HZ,0.0,0.0,29.28,29.91,10.6,3,10.7,41.786,-87.752
178,1,2007-07-29,85,63,74.0,57,64.0, ,0.0,0.0,29.28,29.99,4.8,5,5.7,41.995,-87.933
179,2,2007-07-29,85,67,76.0,56,64.0, ,0.0,0.0,29.34,29.97,6.3,5,6.9,41.786,-87.752
180,1,2007-07-30,89,62,76.0,55,64.0, ,0.0,0.0,29.33,30.03,3.8,6,4.3,41.995,-87.933
181,2,2007-07-30,86,65,76.0,57,65.0, ,0.0,0.0,29.39,30.01,3.1,6,4.6,41.786,-87.752
182,1,2007-07-31,91,68,80.0,61,68.0, ,0.0,0.0,29.33,30.04,3.3,4,4.9,41.995,-87.933
183,2,2007-07-31,89,69,79.0,60,68.0, ,0.0,0.0,29.39,30.02,4.0,7,5.0,41.786,-87.752
184,1,2007-08-01,92,69,81.0,62,69.0,HZ,0.0,0.0,29.29,30.0,3.5,9,4.1,41.995,-87.933
185,2,2007-08-01,91,69,80.0,63,70.0, ,0.0,0.0,29.34,29.98,2.1,13,3.7,41.786,-87.752
186,1,2007-08-02,91,70,81.0,66,71.0,HZ,0.0,0.0,29.26,29.97,5.5,26,5.9,41.995,-87.933
187,2,2007-08-02,91,73,82.0,66,72.0, ,0.0,0.0,29.31,29.95,6.5,23,7.2,41.786,-87.752
188,1,2007-08-03,90,69,80.0,56,66.0, ,0.0,0.0,29.31,30.02,2.7,3,5.7,41.995,-87.933
189,2,2007-08-03,88,73,81.0,58,67.0, ,0.0,0.0,29.36,30.0,3.3,6,5.8,41.786,-87.752
190,1,2007-08-04,81,64,73.0,58,64.0,RA,0.0,0.03,29.31,30.03,5.7,8,6.1,41.995,-87.933
191,2,2007-08-04,81,68,75.0,58,65.0,RA,0.0,0.02,29.36,30.01,5.9,9,6.6,41.786,-87.752
192,1,2007-08-05,88,67,78.0,71,73.0,TSRA RA BR HZ,0.0,1.43,29.08,29.81,5.4,21,9.6,41.995,-87.933
193,2,2007-08-05,88,68,78.0,71,72.0,TSRA RA BR VCTS,0.0,0.97,29.15,29.79,7.0,22,10.2,41.786,-87.752
194,1,2007-08-06,88,74,81.0,72,74.0,TSRA RA BR HZ,0.0,0.26,29.13,29.83,1.6,10,4.9,41.995,-87.933
195,2,2007-08-06,85,75,80.0,72,74.0,TS TSRA BR HZ,0.0,0.05,29.17,29.81,2.6,10,4.6,41.786,-87.752
196,1,2007-08-07,91,72,82.0,73,76.0,RA BR,0.0,1.31,29.06,29.76,6.2,25,9.0,41.995,-87.933
197,2,2007-08-07,92,73,83.0,73,76.0,VCTS,0.0,0.06,29.11,29.74,6.3,24,8.8,41.786,-87.752
198,1,2007-08-08,87,73,80.0,71,73.0,TSRA RA BR,0.0,0.06,29.13,29.83,3.0,3,6.9,41.995,-87.933
199,2,2007-08-08,87,74,81.0,72,74.0,TSRA RA DZ BR HZ,0.0,0.09,29.18,29.81,1.5,4,6.4,41.786,-87.752
200,1,2007-08-09,84,72,78.0,71,73.0,TSRA RA,0.0,0.05,29.13,29.84,2.5,29,6.0,41.995,-87.933
201,2,2007-08-09,85,73,79.0,71,73.0,TSRA BR HZ,0.0,0.46,29.19,29.82,3.1,27,6.3,41.786,-87.752
202,1,2007-08-10,86,70,78.0,68,72.0,BR,0.0,0.0,29.26,29.96,4.5,2,5.9,41.995,-87.933
203,2,2007-08-10,86,73,80.0,69,72.0, ,0.0,0.0,29.32,29.94,3.0,6,5.4,41.786,-87.752
204,1,2007-08-11,89,67,78.0,65,70.0,BR HZ,0.0,0.0,29.31,30.02,3.2,19,3.9,41.995,-87.933
205,2,2007-08-11,88,68,78.0,65,70.0,BR HZ,0.0,0.0,29.38,30.0,3.1,20,3.9,41.786,-87.752
206,1,2007-08-12,88,67,78.0,67,71.0,TSRA,0.0,0.29,29.34,30.06,1.7,6,5.4,41.995,-87.933
207,2,2007-08-12,87,68,78.0,67,70.0,TSRA,0.0,0.23,29.4,30.04,1.9,6,6.6,41.786,-87.752
208,1,2007-08-13,81,65,73.0,57,64.0,BR,0.0,0.0,29.39,30.11,6.2,6,6.9,41.995,-87.933
209,2,2007-08-13,80,69,75.0,54,63.0, ,0.0,0.0,29.44,30.08,6.9,8,7.7,41.786,-87.752
210,1,2007-08-14,84,65,75.0,67,70.0,TS TSRA RA BR,0.0,0.41,29.23,29.93,5.9,25,8.0,41.995,-87.933
211,2,2007-08-14,84,65,75.0,66,69.0,TSRA RA BR,0.0,0.45,29.29,29.92,6.4,23,9.0,41.786,-87.752
212,1,2007-08-15,80,71,76.0,67,70.0,TSRA RA BR,0.0,0.23,29.17,29.89,3.4,7,5.8,41.995,-87.933
213,2,2007-08-15,81,72,77.0,69,71.0,TS TSRA RA BR,0.0,0.83,29.23,29.87,4.9,6,7.1,41.786,-87.752
