,trap-date,trap,num-sqitos,ERRATICUS,PIPIENS,PIPIENSRESTUANS,RESTUANS,SALINARIUS,TARSALIS,TERRITANS,wnv,trap-lat,trap-long
92,2007-06-26,T007,5,0,0,1,1,0,0,0,0,41.994991,-87.769279
94,2007-06-26,T008,2,0,0,0,1,0,0,0,0,42.008314,-87.77792099999999
95,2007-06-26,T011,6,0,0,1,1,0,0,0,0,41.944869,-87.832763
97,2007-06-26,T012,2,0,0,1,0,0,0,0,0,41.991429,-87.747113
98,2007-06-26,T015,1,0,0,0,1,0,0,0,0,41.974089,-87.824812
99,2007-06-26,T016,4,0,0,1,1,0,0,0,0,42.011601,-87.81150600000001
101,2007-06-26,T019,1,0,0,0,1,0,0,0,0,41.94983,-87.69845699999999
102,2007-06-26,T025,1,0,0,1,0,0,0,0,0,41.979243,-87.750938
103,2007-06-26,T028,10,0,0,1,1,0,0,0,0,41.986921,-87.689778
105,2007-06-26,T033,5,0,0,1,1,0,0,0,0,41.906638,-87.701431
107,2007-06-26,T034,1,0,0,0,1,0,0,0,0,41.843810999999995,-87.686763
108,2007-06-26,T037,1,0,0,0,1,0,0,0,0,41.921177,-87.79518
109,2007-06-26,T040,6,0,0,1,1,0,0,0,0,41.852652,-87.719887
111,2007-06-26,T043,1,0,0,0,1,0,0,0,0,41.857402,-87.694991
112,2007-06-26,T045,2,0,0,1,1,0,0,0,0,41.9216,-87.666455
114,2007-06-26,T046,7,0,0,1,1,0,0,0,0,41.891118,-87.65449100000001
116,2007-06-26,T047,2,0,0,1,1,0,0,0,0,41.868142,-87.696269
118,2007-06-26,T048,2,0,0,1,0,0,0,0,0,41.867108,-87.654224
119,2007-06-26,T049,1,0,0,0,1,0,0,0,0,41.896282,-87.655232
120,2007-06-26,T050,1,0,0,0,1,0,0,0,0,41.919343,-87.694259
121,2007-06-26,T051,1,0,0,1,0,0,0,0,0,41.846283,-87.656913
122,2007-06-26,T085,2,0,0,0,1,0,0,0,0,41.721474,-87.648064
123,2007-06-26,T086,4,0,0,2,1,0,0,0,0,41.688324,-87.676709
126,2007-06-26,T088,1,0,1,0,0,0,0,0,0,41.869107,-87.69629300000001
127,2007-06-26,T090,30,0,1,1,1,0,0,0,0,41.868077,-87.666901
130,2007-06-26,T096,5,0,0,0,1,0,0,0,0,41.731922,-87.677512
131,2007-06-26,T129,2,0,0,1,1,0,0,0,0,41.891126,-87.61156
133,2007-06-26,T135,51,0,1,1,1,0,0,0,0,41.662014,-87.72460799999999
136,2007-06-26,T141,4,0,0,1,1,0,0,0,0,41.961743,-87.76007
138,2007-06-26,T142,4,0,0,0,1,0,0,0,0,41.953067,-87.776792
139,2007-06-26,T143,2,0,0,1,1,0,0,0,0,41.999128999999996,-87.795585
141,2007-06-26,T145,1,0,0,0,1,0,0,0,0,41.878114000000004,-87.629798
142,2007-06-26,T146,6,0,0,0,1,0,0,0,0,41.958271,-87.702575
143,2007-06-26,T147,1,0,0,0,1,0,0,0,0,41.932094,-87.700117
144,2007-06-26,T148,4,0,0,1,1,0,0,0,0,42.01743,-87.68776899999999
146,2007-06-26,T150,2,0,0,0,1,0,0,0,0,42.006858,-87.675919
147,2007-06-26,T151,9,0,0,1,1,0,0,0,0,41.916265,-87.800515
149,2007-06-26,T158,5,0,0,1,1,0,0,0,0,41.682587,-87.707973
151,2007-06-26,T161,8,0,0,1,1,0,0,0,0,41.719059,-87.675088
153,2007-06-26,T219,1,0,0,0,1,0,0,0,0,41.966986999999996,-87.674677
154,2007-06-26,T220,1,0,0,0,1,0,0,0,0,41.963976,-87.69181
155,2007-06-29,T002,2,0,0,1,0,0,0,0,0,41.95469,-87.800991
156,2007-06-29,T006,1,0,0,0,1,0,0,0,0,41.990284,-87.797127
157,2007-06-29,T012,1,0,0,1,0,0,0,0,0,41.991429,-87.747113
158,2007-06-29,T013,1,0,0,1,0,0,0,0,0,41.923738,-87.785288
159,2007-06-29,T014,1,0,0,0,1,0,0,0,0,41.970248,-87.787992
160,2007-06-29,T015,3,0,0,1,1,0,0,0,0,41.974089,-87.824812
162,2007-06-29,T016,2,0,0,1,0,0,0,0,0,42.011601,-87.81150600000001
163,2007-06-29,T018,1,0,0,0,1,0,0,0,0,42.010412,-87.66214000000001
164,2007-06-29,T028,3,0,0,1,1,0,0,0,0,41.986921,-87.689778
166,2007-06-29,T030,2,0,0,1,1,0,0,0,0,41.899229999999996,-87.716788
168,2007-06-29,T031,1,0,1,0,0,0,0,0,0,41.801497999999995,-87.763416
169,2007-06-29,T043,5,0,0,1,1,0,0,0,0,41.857402,-87.694991
171,2007-06-29,T046,2,0,0,0,1,0,0,0,0,41.891118,-87.65449100000001
172,2007-06-29,T054,3,0,0,1,0,0,0,0,0,41.921965,-87.632085
173,2007-06-29,T084,2,0,0,1,1,0,0,0,0,41.692555,-87.598865
175,2007-06-29,T085,2,0,1,1,0,0,0,0,0,41.721474,-87.648064
177,2007-06-29,T086,3,0,1,0,1,0,0,0,0,41.688324,-87.676709
179,2007-06-29,T089,2,0,0,0,1,0,0,0,0,41.723195000000004,-87.64997
180,2007-06-29,T090,10,0,1,1,1,0,0,0,0,41.868077,-87.666901
183,2007-06-29,T091,1,0,0,1,0,0,0,0,0,41.862292,-87.64886
184,2007-06-29,T096,1,0,0,0,1,0,0,0,0,41.731922,-87.677512
185,2007-06-29,T135,3,0,0,0,1,0,0,0,0,41.662014,-87.72460799999999
186,2007-06-29,T141,1,0,0,0,1,0,0,0,0,41.961743,-87.76007
187,2007-06-29,T142,1,0,0,0,1,0,0,0,0,41.953067,-87.776792
188,2007-06-29,T143,3,0,0,0,1,0,0,0,0,41.999128999999996,-87.795585
189,2007-06-29,T144,1,0,0,1,0,0,0,0,0,41.94016,-87.794896
190,2007-06-29,T145,1,0,0,0,1,0,0,0,0,41.878114000000004,-87.629798
191,2007-06-29,T146,2,0,0,0,1,0,0,0,0,41.958271,-87.702575
192,2007-06-29,T148,4,0,0,1,1,0,0,0,0,42.01743,-87.68776899999999
194,2007-06-29,T150,1,0,0,0,1,0,0,0,0,42.006858,-87.675919
195,2007-06-29,T151,6,0,0,1,1,0,0,0,0,41.916265,-87.800515
197,2007-06-29,T153,1,0,0,0,1,0,0,0,0,41.907645,-87.760886
198,2007-06-29,T158,6,0,0,0,1,0,0,0,0,41.682587,-87.707973
199,2007-06-29,T160,1,0,0,1,0,0,0,0,0,41.903002,-87.68826700000001
200,2007-06-29,T218,5,0,0,0,1,0,0,0,0,41.948167,-87.730698
201,2007-07-02,T002,5,0,0,1,1,0,0,0,0,41.95469,-87.800991
203,2007-07-02,T003,1,0,0,0,1,0,0,0,0,41.964242,-87.757639
204,2007-07-02,T005,3,0,0,1,0,0,0,0,0,41.942114000000004,-87.776385
205,2007-07-02,T006,1,0,0,0,1,0,0,0,0,41.990284,-87.797127
206,2007-07-02,T007,8,0,0,1,1,0,0,0,0,41.994991,-87.769279
208,2007-07-02,T008,7,0,0,1,1,0,0,0,0,42.008314,-87.77792099999999
210,2007-07-02,T009,2,0,0,0,1,0,0,0,0,41.981964000000005,-87.812827
211,2007-07-02,T011,6,0,0,1,0,0,0,0,0,41.944869,-87.832763
212,2007-07-02,T012,1,0,0,0,0,1,0,0,0,41.991429,-87.747113
213,2007-07-02,T013,7,0,0,1,1,0,0,0,0,41.923738,-87.785288
215,2007-07-02,T014,6,0,0,1,1,0,0,0,0,41.970248,-87.787992
217,2007-07-02,T015,3,0,0,1,0,0,0,0,0,41.974089,-87.824812
218,2007-07-02,T016,1,0,0,0,1,0,0,0,0,42.011601,-87.81150600000001
219,2007-07-02,T017,1,0,0,1,0,0,0,0,0,41.960615999999995,-87.777189
220,2007-07-02,T018,1,0,0,1,0,0,0,0,0,42.010412,-87.66214000000001
221,2007-07-02,T019,1,0,0,0,1,0,0,0,0,41.94983,-87.69845699999999
222,2007-07-02,T028,7,0,1,1,1,0,0,0,0,41.986921,-87.689778
225,2007-07-02,T030,5,0,0,1,1,0,0,0,0,41.899229999999996,-87.716788
227,2007-07-02,T037,3,0,0,1,1,0,0,0,0,41.921177,-87.79518
229,2007-07-02,T043,5,0,0,1,0,0,0,0,0,41.857402,-87.694991
230,2007-07-02,T044,3,0,0,1,1,0,0,0,0,41.883284,-87.705085
232,2007-07-02,T045,4,0,0,1,1,0,0,0,0,41.9216,-87.666455
234,2007-07-02,T046,19,0,0,1,1,0,0,0,0,41.891118,-87.65449100000001
236,2007-07-02,T047,12,0,0,1,1,0,0,0,0,41.868142,-87.696269
238,2007-07-02,T048,1,0,0,0,1,0,0,0,0,41.867108,-87.654224
239,2007-07-02,T051,1,0,0,1,0,0,0,0,0,41.846283,-87.656913
240,2007-07-02,T054,3,0,0,1,1,0,0,0,0,41.921965,-87.632085
242,2007-07-02,T085,2,0,0,1,0,0,0,0,0,41.721474,-87.648064
243,2007-07-02,T086,5,0,0,1,1,0,0,0,0,41.688324,-87.676709
245,2007-07-02,T088,1,0,0,1,0,0,0,0,0,41.869107,-87.69629300000001
246,2007-07-02,T089,1,0,0,1,0,0,0,0,0,41.723195000000004,-87.64997
247,2007-07-02,T090,13,0,0,1,1,0,0,0,0,41.868077,-87.666901
249,2007-07-02,T092,2,0,0,0,1,0,0,0,0,41.869215999999994,-87.627561
250,2007-07-02,T095,1,0,0,1,0,0,0,0,0,41.704336,-87.70373599999999
251,2007-07-02,T096,10,0,1,1,1,0,0,0,0,41.731922,-87.677512
254,2007-07-02,T129,3,0,0,1,1,0,0,0,0,41.891126,-87.61156
256,2007-07-02,T135,30,0,0,1,1,1,0,0,0,41.662014,-87.72460799999999
259,2007-07-02,T142,2,0,0,1,1,0,0,0,0,41.953067,-87.776792
261,2007-07-02,T145,1,0,0,0,0,1,0,0,0,41.878114000000004,-87.629798
262,2007-07-02,T146,1,0,0,0,1,0,0,0,0,41.958271,-87.702575
263,2007-07-02,T148,1,0,0,0,1,0,0,0,0,42.01743,-87.68776899999999
264,2007-07-02,T149,2,0,0,1,1,0,0,0,0,41.994469,-87.667736
266,2007-07-02,T151,7,0,0,1,1,0,0,0,0,41.916265,-87.800515
268,2007-07-02,T152,1,0,0,1,0,0,0,0,0,41.846075,-87.716277
269,2007-07-02,T154,1,0,0,1,0,0,0,0,0,41.918704999999996,-87.752329
270,2007-07-02,T158,32,0,0,1,1,0,0,0,0,41.682587,-87.707973
272,2007-07-02,T161,5,0,0,1,1,0,0,0,0,41.719059,-87.675088
274,2007-07-02,T218,2,0,0,1,0,0,0,0,0,41.948167,-87.730698
275,2007-07-11,T001,1,0,0,1,0,0,0,0,0,41.953705,-87.733974
276,2007-07-11,T002,27,0,1,1,1,0,0,0,0,41.95469,-87.800991
279,2007-07-11,T003,2,0,0,1,0,0,0,0,0,41.964242,-87.757639
280,2007-07-11,T004,1,0,0,1,0,0,0,0,0,41.962728000000006,-87.748367
281,2007-07-11,T006,3,0,0,1,1,0,0,0,0,41.990284,-87.797127
283,2007-07-11,T007,3,0,0,1,0,0,0,0,0,41.994991,-87.769279
284,2007-07-11,T008,58,0,1,1,1,0,0,0,0,42.008314,-87.77792099999999
287,2007-07-11,T009,15,0,0,1,1,0,0,0,0,41.981964000000005,-87.812827
289,2007-07-11,T011,12,0,1,1,2,0,0,0,0,41.944869,-87.832763
293,2007-07-11,T013,3,0,0,1,1,0,0,0,0,41.923738,-87.785288
295,2007-07-11,T014,7,0,0,1,1,0,0,0,0,41.970248,-87.787992
297,2007-07-11,T015,4,0,0,1,2,0,0,0,0,41.974089,-87.824812
300,2007-07-11,T016,66,0,1,2,2,0,0,0,0,42.011601,-87.81150600000001
305,2007-07-11,T019,1,0,0,1,0,0,0,0,0,41.94983,-87.69845699999999
306,2007-07-11,T025,9,0,0,1,1,0,0,0,0,41.979243,-87.750938
308,2007-07-11,T028,3,0,0,1,1,0,0,0,0,41.986921,-87.689778
310,2007-07-11,T030,15,0,1,1,1,0,0,0,0,41.899229999999996,-87.716788
313,2007-07-11,T031,1,0,0,0,1,0,0,0,0,41.801497999999995,-87.763416
314,2007-07-11,T033,1,0,0,1,0,0,0,0,0,41.906638,-87.701431
315,2007-07-11,T035,1,0,0,1,0,0,0,0,0,41.836644,-87.677737
316,2007-07-11,T036,2,0,0,1,0,0,0,0,0,41.837084999999995,-87.729384
317,2007-07-11,T037,2,0,0,1,0,0,0,0,0,41.921177,-87.79518
318,2007-07-11,T039,1,0,0,1,0,0,0,0,0,41.911823999999996,-87.726737
319,2007-07-11,T043,25,0,0,1,1,0,0,0,0,41.857402,-87.694991
321,2007-07-11,T045,5,0,0,1,1,0,0,0,0,41.9216,-87.666455
323,2007-07-11,T046,14,0,1,1,1,0,0,0,0,41.891118,-87.65449100000001
326,2007-07-11,T047,3,0,1,1,0,0,0,0,0,41.868142,-87.696269
328,2007-07-11,T048,4,0,0,1,1,0,0,0,0,41.867108,-87.654224
330,2007-07-11,T049,3,0,0,1,1,0,0,0,0,41.896282,-87.655232
332,2007-07-11,T054,2,0,0,1,1,0,0,0,0,41.921965,-87.632085
334,2007-07-11,T060,2,0,1,1,0,0,0,0,0,41.823065,-87.67837800000001
336,2007-07-11,T061,4,0,1,1,0,0,0,0,0,41.801179,-87.679447
338,2007-07-11,T062,2,0,1,0,0,0,0,0,0,41.800737,-87.71188000000001
339,2007-07-11,T065,26,0,1,1,0,0,0,1,0,41.778296999999995,-87.752411
342,2007-07-11,T066,4,0,0,1,0,0,0,0,0,41.77166,-87.703047
343,2007-07-11,T067,9,0,0,1,0,0,0,0,0,41.759346,-87.745602
344,2007-07-11,T069,14,0,0,1,2,0,0,0,0,41.768388,-87.678649
347,2007-07-11,T070,2,0,0,1,0,0,0,0,0,41.797616,-87.797894
348,2007-07-11,T071,2,0,0,1,0,0,0,0,0,41.781416,-87.77653199999999
349,2007-07-11,T073,5,0,0,1,1,0,0,0,0,41.773215,-87.60088
351,2007-07-11,T074,11,0,0,0,1,0,0,0,0,41.822536,-87.66634300000001
352,2007-07-11,T075,1,0,0,0,0,1,0,0,0,41.799282,-87.585487
353,2007-07-11,T076,18,0,0,0,1,0,0,0,0,41.794781,-87.615989
354,2007-07-11,T077,1,0,0,0,1,0,0,0,0,41.778748,-87.586427
355,2007-07-11,T079,12,0,0,1,1,0,0,0,0,41.766202,-87.562889
357,2007-07-11,T080,3,0,0,1,1,0,0,0,0,41.754676,-87.612922
359,2007-07-11,T081,12,0,0,1,1,0,0,0,0,41.821582,-87.62779599999999
361,2007-07-11,T082,9,0,1,1,1,0,0,0,0,41.803422999999995,-87.642984
364,2007-07-11,T083,9,0,0,1,1,0,0,0,0,41.754292,-87.590773
366,2007-07-11,T084,6,0,1,1,1,0,0,0,0,41.692555,-87.598865
369,2007-07-11,T085,15,0,0,1,0,0,0,0,0,41.721474,-87.648064
370,2007-07-11,T086,174,0,1,4,2,1,0,1,0,41.688324,-87.676709
379,2007-07-11,T088,9,0,0,1,1,0,0,0,0,41.869107,-87.69629300000001
381,2007-07-11,T089,3,0,0,1,1,0,0,0,0,41.723195000000004,-87.64997
383,2007-07-11,T090,32,0,0,1,1,0,0,0,0,41.868077,-87.666901
385,2007-07-11,T091,15,0,1,1,0,0,0,0,0,41.862292,-87.64886
387,2007-07-11,T092,6,0,1,1,0,0,0,0,0,41.869215999999994,-87.627561
389,2007-07-11,T094,1,0,0,1,0,0,0,0,0,41.720848,-87.666014
390,2007-07-11,T096,45,0,1,1,1,0,0,0,0,41.731922,-87.677512
393,2007-07-11,T114,6,0,0,1,1,0,0,0,0,41.798697,-87.736812
395,2007-07-11,T135,23,0,1,1,1,0,0,0,0,41.662014,-87.72460799999999
398,2007-07-11,T141,1,0,0,1,0,0,0,0,0,41.961743,-87.76007
399,2007-07-11,T142,2,0,0,1,1,0,0,0,0,41.953067,-87.776792
401,2007-07-11,T143,1,0,0,0,1,0,0,0,0,41.999128999999996,-87.795585
402,2007-07-11,T145,4,0,0,1,1,0,0,0,0,41.878114000000004,-87.629798
404,2007-07-11,T146,16,0,1,1,1,0,0,0,0,41.958271,-87.702575
407,2007-07-11,T148,4,0,0,1,1,1,0,0,0,42.01743,-87.68776899999999
410,2007-07-11,T150,1,0,0,1,0,0,0,0,0,42.006858,-87.675919
411,2007-07-11,T151,12,0,0,1,1,0,0,0,0,41.916265,-87.800515
413,2007-07-11,T155,1,0,0,1,0,0,0,0,0,41.776156,-87.778927
414,2007-07-11,T158,245,0,1,4,1,0,0,0,0,41.682587,-87.707973
420,2007-07-11,T160,17,0,1,1,0,0,0,0,0,41.903002,-87.68826700000001
422,2007-07-11,T161,21,0,0,1,1,0,0,0,0,41.719059,-87.675088
424,2007-07-11,T162,1,0,0,0,1,0,0,0,0,41.725516999999996,-87.61425799999999
425,2007-07-11,T218,2,0,0,1,1,0,0,0,0,41.948167,-87.730698
427,2007-07-18,T001,1,0,1,0,0,0,0,0,0,41.953705,-87.733974
428,2007-07-18,T002,13,0,1,1,1,0,0,0,0,41.95469,-87.800991
431,2007-07-18,T003,2,0,1,1,0,0,0,0,0,41.964242,-87.757639
433,2007-07-18,T006,3,0,0,0,1,0,0,0,0,41.990284,-87.797127
434,2007-07-18,T007,6,0,1,0,1,0,0,0,0,41.994991,-87.769279
436,2007-07-18,T008,11,0,1,1,1,0,0,0,0,42.008314,-87.77792099999999
439,2007-07-18,T011,4,0,0,1,1,0,0,0,0,41.944869,-87.832763
441,2007-07-18,T012,1,0,0,1,0,0,0,0,0,41.991429,-87.747113
442,2007-07-18,T013,2,0,0,1,0,0,0,0,0,41.923738,-87.785288
443,2007-07-18,T014,3,0,0,0,1,0,0,0,0,41.970248,-87.787992
444,2007-07-18,T015,5,0,1,0,1,0,0,0,0,41.974089,-87.824812
446,2007-07-18,T016,41,0,0,2,1,0,0,0,0,42.011601,-87.81150600000001
449,2007-07-18,T017,1,0,0,0,1,0,0,0,0,41.960615999999995,-87.777189
450,2007-07-18,T019,2,0,0,0,1,0,0,0,0,41.94983,-87.69845699999999
451,2007-07-18,T025,3,0,0,2,0,0,0,0,0,41.979243,-87.750938
453,2007-07-18,T028,4,0,1,0,2,0,0,0,0,41.986921,-87.689778
456,2007-07-18,T030,18,0,1,2,1,0,0,0,0,41.899229999999996,-87.716788
460,2007-07-18,T031,3,0,1,1,0,0,0,0,0,41.801497999999995,-87.763416
462,2007-07-18,T033,4,0,0,1,0,0,0,0,0,41.906638,-87.701431
463,2007-07-18,T035,1,0,0,1,0,0,0,0,0,41.836644,-87.677737
464,2007-07-18,T036,6,0,1,1,2,1,0,0,0,41.837084999999995,-87.729384
469,2007-07-18,T037,3,0,1,1,0,0,0,0,0,41.921177,-87.79518
471,2007-07-18,T039,2,0,0,1,0,0,0,0,0,41.911823999999996,-87.726737
472,2007-07-18,T043,1,0,0,1,0,0,0,0,0,41.857402,-87.694991
473,2007-07-18,T044,3,0,0,1,2,0,0,0,0,41.883284,-87.705085
476,2007-07-18,T045,16,0,1,1,0,0,0,0,0,41.9216,-87.666455
478,2007-07-18,T046,72,0,1,2,1,0,0,0,0,41.891118,-87.65449100000001
482,2007-07-18,T047,1,0,0,0,1,0,0,0,0,41.868142,-87.696269
483,2007-07-18,T048,3,0,0,1,1,0,0,0,0,41.867108,-87.654224
485,2007-07-18,T049,3,0,0,1,0,0,0,0,0,41.896282,-87.655232
486,2007-07-18,T050,1,0,0,1,0,0,0,0,0,41.919343,-87.694259
487,2007-07-18,T051,2,0,0,1,0,0,0,0,0,41.846283,-87.656913
488,2007-07-18,T054,5,0,0,1,1,0,0,0,0,41.921965,-87.632085
490,2007-07-18,T060,1,0,0,0,1,0,0,0,0,41.823065,-87.67837800000001
491,2007-07-18,T061,2,0,0,1,0,0,0,0,0,41.801179,-87.679447
492,2007-07-18,T062,18,0,1,1,1,0,0,0,0,41.800737,-87.71188000000001
495,2007-07-18,T063,3,0,1,1,0,0,0,0,0,41.82561,-87.726549
497,2007-07-18,T065,3,0,1,1,0,0,0,0,0,41.778296999999995,-87.752411
499,2007-07-18,T084,1,0,0,1,0,0,0,0,0,41.692555,-87.598865
500,2007-07-18,T086,6,0,0,1,1,0,0,0,0,41.688324,-87.676709
502,2007-07-18,T091,2,0,1,1,0,0,0,0,0,41.862292,-87.64886
504,2007-07-18,T115,50,0,0,1,0,0,0,0,0,41.673408,-87.599862
505,2007-07-18,T129,1,0,0,0,1,0,0,0,0,41.891126,-87.61156
506,2007-07-18,T138,178,0,0,2,2,1,0,0,0,41.726465000000005,-87.585413
511,2007-07-18,T141,1,0,0,1,0,0,0,0,0,41.961743,-87.76007
512,2007-07-18,T142,3,0,0,1,0,0,0,0,0,41.953067,-87.776792
513,2007-07-18,T143,2,0,0,1,1,0,0,0,0,41.999128999999996,-87.795585
515,2007-07-18,T144,2,0,0,1,1,0,0,0,0,41.94016,-87.794896
517,2007-07-18,T146,10,0,1,1,0,1,0,0,0,41.958271,-87.702575
520,2007-07-18,T147,2,0,0,1,0,0,0,0,0,41.932094,-87.700117
521,2007-07-18,T148,3,0,0,1,1,0,0,0,0,42.01743,-87.68776899999999
523,2007-07-18,T150,2,0,0,1,1,0,0,0,0,42.006858,-87.675919
525,2007-07-18,T151,13,0,1,1,1,0,0,0,0,41.916265,-87.800515
528,2007-07-18,T152,1,0,0,0,1,0,0,0,0,41.846075,-87.716277
529,2007-07-18,T153,2,0,0,1,0,0,0,0,0,41.907645,-87.760886
530,2007-07-18,T200,50,0,1,2,2,0,0,1,0,41.678618,-87.559308
536,2007-07-18,T206,5,0,1,1,1,0,0,0,0,41.737052,-87.54306700000001
539,2007-07-18,T209,16,0,1,1,1,0,0,0,0,41.740641,-87.546587
542,2007-07-18,T212,140,0,1,3,1,0,0,0,0,41.680946,-87.535198
547,2007-07-18,T215,85,0,1,2,1,0,0,0,1,41.686398,-87.531635
551,2007-07-18,T218,3,0,1,1,1,0,0,0,0,41.948167,-87.730698
554,2007-07-18,T220,2,0,1,1,0,0,0,0,0,41.963976,-87.69181
556,2007-07-19,T014,1,0,1,0,0,0,0,0,0,41.970248,-87.787992
557,2007-07-19,T035,3,0,0,1,0,0,0,0,0,41.836644,-87.677737
558,2007-07-19,T047,1,0,0,0,1,0,0,0,0,41.868142,-87.696269
559,2007-07-19,T061,1,0,1,0,0,0,0,0,0,41.801179,-87.679447
560,2007-07-19,T062,1,0,0,0,0,1,0,0,0,41.800737,-87.71188000000001
561,2007-07-19,T063,11,0,0,1,0,0,0,0,0,41.82561,-87.726549
